"project_id","job_id","language","files","comment","code"
"45275","1710399","JSON","4","0","9335"
"45275","1710399","TypeScript","45","4","2860"
"45275","1710399","CSS","2","0","184"
"45275","1710399","YAML","2","0","42"
"45275","1710399","Markdown","1","0","27"
"45275","1710399","Ignored","7","0","0"
"35904","1727551","Rust","1004","1194","178086"
"35904","1727551","JSON","653","0","174988"
"35904","1727551","Elm","1085","4095","109585"
"35904","1727551","SQL","296","113","50420"
"35904","1727551","Sass","153","37","11167"
"35904","1727551","JavaScript","52","228","6599"
"35904","1727551","YAML","33","36","3497"
"35904","1727551","Markdown","22","0","1150"
"35904","1727551","HTML","2","13","376"
"35904","1727551","Python","1","4","123"
"35904","1727551","Text","1","0","2"
"35904","1727551","Ignored","246","0","0"
"45109","1698091","JSON","4","0","9335"
"45109","1698091","TypeScript","45","4","2860"
"45109","1698091","CSS","2","0","184"
"45109","1698091","YAML","2","0","42"
"45109","1698091","Markdown","1","0","27"
"45109","1698091","Ignored","7","0","0"
"39369","1727614","C#","11929","382684","3825094"
"39369","1727614","VB","3589","116400","1668295"
"39369","1727614","Text","202","0","463776"
"39369","1727614","JSON","63","0","78529"
"39369","1727614",".Net Resource File","57","2737","47974"
"39369","1727614","Markdown","234","0","20562"
"39369","1727614","XML","9","2528","19530"
"39369","1727614",".Net Project File","272","1062","13661"
"39369","1727614","PowerShell","64","664","6266"
"39369","1727614","YAML","55","405","3855"
"39369","1727614","Shell Script","29","295","3140"
"39369","1727614","ANTLR","2","0","2742"
"39369","1727614",".Net Solution File","31","0","2481"
"39369","1727614","XSD","6","217","878"
"39369","1727614","CMake","1","0","306"
"39369","1727614","ASP.NET","17","0","191"
"39369","1727614","DOS Batch","26","20","158"
"39369","1727614","C++","4","28","137"
"39369","1727614","CSV","1","0","54"
"39369","1727614","F#","2","2","11"
"39369","1727614","C","1","3","10"
"39369","1727614","Ignored","1107","0","0"
"44866","1728134","JSON","5","0","43374"
"44866","1728134","PHP","390","8555","19396"
"44866","1728134","JavaScript","1","117","438"
"44866","1728134","Markdown","1","0","33"
"44866","1728134","XML","1","0","30"
"44866","1728134","ASP.NET","1","0","23"
"44866","1728134","Text","1","0","2"
"44866","1728134","Ignored","2","0","0"
"33937","1727499","C#","75","108","13369"
"33937","1727499","XML","27","685","2844"
"33937","1727499",".Net Project File","1","0","358"
"33937","1727499",".Net Solution File","1","0","258"
"33937","1727499","YAML","2","0","110"
"33937","1727499","PowerShell","3","5","77"
"33937","1727499","Text","1","0","35"
"33937","1727499","Markdown","1","0","16"
"33937","1727499","ASP.NET","1","0","14"
"33937","1727499","JSON","1","0","13"
"33937","1727499","Ignored","126","0","0"
"35802","1727791","C","2","0","12"
"35769","1711344","C","2","0","12"
"44841","1711912","JSON","4","0","6592"
"44841","1711912","Markdown","39","0","2790"
"44841","1711912","YAML","30","5","1356"
"44841","1711912","TypeScript","5","3","330"
"44841","1711912","JavaScript","2","0","101"
"44841","1711912","CSS","1","1","43"
"44841","1711912","Shell Script","1","1","15"
"44841","1711912","Ignored","4","0","0"
"18677","1727892","CSV","17147","0","1697183"
"18677","1727892","JSON","3412","0","1046533"
"18677","1727892","Clojure","2022","7611","203564"
"18677","1727892","JavaScript","1025","3286","87756"
"18677","1727892","TypeScript","555","1536","37991"
"18677","1727892","Less","509","639","33239"
"18677","1727892","HTML","527","111","26816"
"18677","1727892","CSS","19","129","24560"
"18677","1727892","Java","156","401","7006"
"18677","1727892","ANTLR","94","840","6892"
"18677","1727892","SQL","513","1750","6138"
"18677","1727892","Markdown","97","0","5833"
"18677","1727892","XML","107","31","3543"
"18677","1727892","YAML","54","357","3207"
"18677","1727892","Text","72","0","1561"
"18677","1727892","Shell Script","47","334","1263"
"18677","1727892","ASP.NET","22","0","1005"
"18677","1727892","Python","9","582","519"
"18677","1727892","DOS Batch","1","2","243"
"18677","1727892","Objective C++","1","0","232"
"18677","1727892","Encoding","4","0","219"
"18677","1727892","C#","1","4","49"
