"project_id","job_id","authors","active_authors","entities","commits"
"34443","1728518","5","3","4698","8071"
"41689","1676296","33","9","7974","6485"
"35486","1177197","18","7","343","264"
"24346","1177377","20","2","607","172"
"39767","1170370","2","1","103","39"
"35102","882673","26","1","126","361"
"34358","1727908","14","9","733","649"
"38618","1073025","2","1","103","39"
"35208","871392","2","1","103","39"
"39404","1137946","2","1","103","39"
"33479","850903","7","7","179","325"
"34611","850830","2","1","11","25"
"25500","1728945","1","1","43","127"
"36524","924914","2","1","103","39"
"35928","893049","2","1","103","39"
"41902","1643677","2","2","15","9"
"44709","1728473","8","8","124","52"
"35240","872336","2","1","11","25"
"13093","1176613","170","4","5198","9467"
"40153","1204450","2","1","103","39"
"175","776430","158","2","552","2761"
"34380","835229","2","1","11","25"
"34236","825214","2","1","11","25"
"40612","1728346","11","1","1536","295"
"41948","1728776","1","1","41","37"
"35206","871374","2","1","103","39"
"41018","1264596","2","1","103","39"
"38269","1726366","66","15","4048","3436"
"34485","840977","2","1","103","39"
"42134","1728406","11","10","435","203"
"7497","1728207","7","7","262","167"
"38473","1728282","7","1","77","44"
"36113","900660","2","1","11","25"
"37536","992292","55","9","1080","2109"
"36572","1024766","20","11","18966","5236"
"45134","1727515","81","26","8127","32375"
"35921","1728024","66","15","4048","3436"
"45055","1727766","6","2","91","60"
"41326","1726251","38","4","22967","14509"
"27346","942275","60","19","897","2722"
"36540","925646","2","1","103","39"
"32619","1727572","5","3","4426","1953"
"41019","1264644","2","1","103","39"
"34105","816390","2","1","11","25"
"40885","1728225","18","6","1512","3207"
"39163","1727927","6","3","183","421"
"30451","1662150","57","37","4760","11815"
"43647","1537532","2","1","103","39"
"34551","845914","2","1","11","25"
"43082","1469220","2","1","103","39"
"13095","1177589","85","8","3891","5649"
"44560","1643285","2","1","103","39"
"45058","1727788","5","3","98","449"
"35108","882646","24","2","152","376"
"35453","884629","2","1","11","25"
"35904","1727551","64","13","3364","3045"
"36877","947869","2","1","11","25"
"15855","1176409","20","3","172","353"
"36853","1002669","0","0","0","0"
"45266","1710360","2","1","11","25"
"5404","1728644","18","8","11227","16591"
"35377","878984","2","1","103","39"
"34676","854519","2","1","103","39"
"40474","1231507","2","1","11","25"
"33515","1728198","58","45","28741","7411"
"34243","825269","2","1","103","39"
"34136","818796","2","1","11","25"
"42634","1428620","2","1","103","39"
"34456","839059","2","1","103","39"
"37851","1017179","2","1","11","25"
"45454","1728422","5","5","88","76"
"34789","862017","2","1","11","25"
"36755","940832","2","1","103","39"
"41194","1727853","55","19","7350","11645"
"37300","976824","2","1","11","25"
"44918","1684022","2","1","103","39"
"29560","1728799","125","24","3444","3677"
"34363","1728752","44","15","1224","2942"
"37757","1117396","1","1","1439","30"
"35729","1718652","1","1","2","4"
"44278","1608262","2","1","103","39"
"41544","1300217","2","1","103","39"
"38757","1727867","5","1","414","27"
"26155","1662922","4","3","355","795"
"43971","1728589","9","4","558","1153"
