"project_id","job_id","authors","active_authors","entities","commits"
"25507","1789697","3","1","67","7"
"41469","1292969","275","4","4315","11173"
"35312","874780","2","1","103","39"
"34516","842403","18","1","78","220"
"38395","1060074","2","1","103","39"
"45773","1741515","2","1","103","39"
"34764","858552","859","23","3545","7808"
"34801","862598","17","1","450","1140"
"38345","1054123","475","24","1101","1175"
"40293","1216284","576","58","7938","9470"
"34683","854698","2","1","838","307"
"46414","1788966","2","1","103","39"
"34311","829396","2","1","103","39"
"34399","835720","2","1","103","39"
"35534","886485","2","1","103","39"
"36305","909991","1","1","24","7"
"36842","944580","1","1","14","16"
"36851","945563","1","1","36","7"
"34704","855184","2","2","573","218"
"43643","1537473","2","1","11","25"
"37470","987262","2","1","103","39"
"38253","1046211","2","1","103","39"
"36585","929683","2","1","11","25"
"46511","1796231","2","1","103","39"
"35843","891222","1","1","39","1"
"33921","806662","20","3","18436","960"
"33538","1783177","2","1","20","2"
"33547","790719","2","1","23","84"
"36061","898594","2","1","11","25"
"35152","869555","2","2","37","2"
"38949","1168974","3","2","182","184"
"34726","856250","2","1","11","25"
"36914","951162","1","1","1","1"
"16386","1045428","1141","104","6697","5191"
"39327","1131241","347","67","3817","3242"
"45723","1737819","1","1","5204","2"
"34124","817882","0","0","0","0"
"35531","886464","2","1","11","25"
"44074","1581346","1","1","80","9"
"37710","1004340","2","1","103","39"
"34047","820232","3","1","259","411"
"34795","862534","4","2","623","713"
"36020","897691","2","1","103","39"
"46191","1770450","3","1","239","12"
"41371","1283566","121","7","9046","10523"
"35279","873814","2","1","103","39"
"42602","1424211","2","1","103","39"
"34416","837651","1","1","6","1"
"36616","932067","17","5","77","218"
"44867","1797608","4958","361","8087","107668"
"37743","1007959","2","1","103","39"
"34138","818803","2","1","103","39"
"45516","1726722","36","10","1152","276"
"36830","944313","2","1","11","25"
"41948","1785810","1","1","41","37"
"18590","875621","1","1","74","18"
"41867","1800306","2","1","59","60"
"35707","1037225","1","1","2","4"
"35746","1036895","1","1","2","4"
"36334","913174","254","13","2848","3308"
"33552","791476","6","1","85","96"
"36441","918314","1","1","68","1"
"41035","1267700","118","9","11919","20550"
"35290","874049","103","2","1845","1537"
"39623","1159556","2","1","61","376"
"34184","822135","33","2","1143","5854"
"35533","886477","2","1","103","39"
"37785","1012152","779","7","350","3173"
"14391","845714","1","1","20","14"
"34541","878285","2","2","47","2"
"33688","799168","55","4","7110","6720"
"38048","1033323","16","10","501","508"
"34555","845924","2","1","103","39"
"41040","1266277","87","2","6813","18671"
"36281","909639","1888","189","8489","25119"
"28050","771764","32","4","3820","6467"
"40827","1254903","770","19","350","3156"
"41079","1268244","118","9","11919","20550"
"34198","842041","42","16","5599","14175"
"31893","1157233","28","21","825","1803"
"37630","999507","3","1","23","3"
"35723","1037157","1","1","2","4"
"35536","886500","2","1","103","39"
"34614","850846","2","1","103","39"
"33367","778530","16","7","19","73"
"37003","1534518","89","2","15220","15134"
"46047","1761326","6","6","401","225"
"41106","1269223","118","9","11919","20550"
"35470","918145","1","1","17","28"
"28631","932765","1654","49","26771","46407"
"42151","1371935","28","1","74","64"
"43356","1505703","108","9","17451","13015"
"35880","892200","2","1","103","39"
"36199","906211","2","1","103","39"
"39787","1343888","32","3","7056","3352"
"41036","1266169","810","74","8356","74030"
"38602","1072725","0","0","0","0"
"46406","1788917","120","13","748","1739"
"11711","829912","2","1","4","9"
"33597","794234","12","3","470","212"
"34111","816447","2","1","154","353"
"34866","866081","1","1","2619","34"
"41026","1799377","118","9","11919","20550"
"41542","1300201","2","1","103","39"
"36018","897679","2","1","11","25"
"33539","790624","2","1","25","3"
"35978","896800","18","1","78","220"
"36270","909459","2","1","103","39"
"37155","965343","2","1","11","25"
"39458","1143571","7","2","24","90"
"34865","866046","21","3","3807","936"
"33301","773239","31","8","64","262"
"31347","1797215","66","1","21894","640"
"35483","885287","2","1","103","39"
"35825","890965","5","5","1226","531"
"37529","991785","115","8","17840","17323"
"34758","858035","303","1","388","3694"
"42282","1388271","3","3","81","246"
"35584","888913","2","1","11","25"
"33482","787682","2","1","437","22"
"34806","862794","7","1","252","167"
"46351","1783434","371","9","10532","2934"
"42951","1457646","2","1","103","39"
"40514","1232984","2","1","103","39"
"43018","1462738","2","1","11","25"
"36894","949215","1","1","2","2"
"36586","929690","2","1","103","39"
"42025","1800011","0","0","0","0"
"34301","829128","3","1","38","12"
"34454","839040","2","1","103","39"
"25067","1799110","225","7","2574","4583"
"35788","1037684","1","1","2","4"
"37531","991902","1","1","1","1"
"35559","887990","2","1","103","39"
"35855","891874","2","1","11","25"
"35889","892342","100","3","1829","1506"
"37870","1019740","116","11","17850","17393"
"34531","862357","14","1","52","66"
"35157","870041","1","1","36","17"
"33649","797155","2","2","14","4"
"10253","1799311","33","8","890","2343"
"35472","884884","55","3","556","308"
"33509","788892","4","2","651","1237"
"33502","788278","11","1","175","317"
"41103","1269097","87","2","6813","18671"
"44273","1608228","2","1","11","25"
"45252","1709598","9","3","163","706"
"38051","1034326","1026","34","3947","9673"
"33303","773248","6","1","427","401"
"35858","891894","2","1","103","39"
"34599","850645","2","1","11","25"
"34655","853306","2","1","103","39"
"33554","791771","3","1","99","12"
"36680","935083","2","1","103","39"
"36035","897940","2","1","103","39"
"36856","953515","10","5","7477","2459"
"36300","909923","2","1","103","39"
"19840","867812","19","7","645","1060"
"45468","1722509","1","1","1","1"
"45316","1712741","2","2","81","2"
"32161","797317","33","3","278","270"
"34530","843377","6","1","47","33"
"38319","1051881","2","1","103","39"
"34242","825257","2","1","103","39"
"37175","1799472","6","3","74","331"
"34193","823153","1","1","1","1"
"35504","885917","18","1","78","220"
"36548","927138","1","1","18","8"
"33919","806658","42","3","189","618"
"41479","1292992","1","1","59","3"
"38445","1064027","2","1","103","39"
"29233","771615","7","3","85","90"
"36123","900793","1","1","51","1"
"34480","840953","2","1","11","25"
"33640","796391","1","1","2","1"
"36033","897929","2","1","11","25"
"41148","1275364","566","45","14654","10441"
"34400","835729","2","1","103","39"
"37607","997164","1","1","5208","2"
"34438","838846","2","1","103","39"
"41271","1799329","555","30","4217","11454"
"36728","938233","1","1","86","6"
"39682","1164788","2","1","103","39"
"32257","845428","2","1","382","217"
"34561","846463","28","12","2331","1265"
"35374","878962","2","1","103","39"
"34697","855116","1","1","50","3"
"36100","900316","1","1","161","53"
"34483","840968","2","1","103","39"
"41330","1279232","811","71","8363","74124"
"36899","1799617","68","6","836","997"
"29864","1799734","200","11","1534","1741"
"36600","931118","18","1","78","220"
"36618","932107","18","1","78","220"
"35459","884644","2","1","103","39"
"35535","886487","2","1","103","39"
"37007","956566","2","1","103","39"
"36988","955997","2","1","103","39"
"37005","956553","2","1","11","25"
"46192","1770462","12","1","149","460"
"35995","897059","18","1","78","220"
"41184","1271567","87","2","6813","18671"
"34691","855009","0","0","0","0"
"34735","856505","1","1","149","1"
"34492","841219","21","1","117","77"
"38054","1034554","18","1","78","220"
"36644","933731","1","1","69","2"
"33302","773244","1","1","39","67"
"35807","1036929","1","1","2","4"
"36520","924892","2","1","11","25"
"35778","1038031","1","1","2","4"
"35412","881619","2","1","103","39"
"34685","854740","1","1","4","10"
"34312","829397","2","1","103","39"
"34512","895482","18","1","78","220"
"33791","802302","549","31","1356","6545"
"37106","962486","2","1","11","25"
"35220","871530","2","1","103","39"
"36714","937529","2","1","103","39"
"31832","1019208","1323","67","60119","86236"
"31374","921653","3","2","276","230"
"33522","790409","2","1","90","190"
"33658","797457","1","1","167","28"
"39013","1099947","33","2","1189","2821"
"37983","1797515","0","0","0","0"
"34751","857382","2","1","103","39"
"34584","848800","2","1","103","39"
"37859","1018167","899","2","3849","5567"
"32258","845498","2","1","159","66"
"35910","892590","18","1","78","220"
"35994","897002","18","1","78","220"
"35127","868823","2","1","103","39"
"36950","954037","15","3","172","237"
"36754","940820","2","1","103","39"
"36769","941770","3","3","57","13"
"9215","1792976","12","2","407","884"
"39797","1176165","1","1","52","2"
"38817","1089097","0","0","0","0"
"35334","875015","2","1","103","39"
"36141","901802","315","1","406","4915"
"40976","1275576","761","65","5706","10389"
"39508","1146436","2","1","103","39"
"35191","871125","9","1","519","580"
"38053","1034472","1","1","39","2"
"35792","1037248","1","1","2","4"
"36712","937522","2","1","11","25"
"40043","1193511","13","1","128","72"
"35514","886070","2","1","103","39"
"34779","861146","4","1","15","28"
"37533","992016","397","15","3200","6558"
"40438","1229456","2","1","11","25"
"37026","957703","131","21","6247","3094"
"34030","812831","1","1","53","4"
"35938","893799","1","1","16","11"
"34791","862025","2","1","103","39"
"36250","908274","2","1","103","39"
"42914","1453571","3","2","7","11"
"39933","1186144","2","2","436","5"
"34560","846446","24","9","571","1573"
"33530","790493","1","1","4","4"
"35410","881606","2","1","11","25"
"37898","1023038","8","8","74","111"
"36464","919676","1","1","1","3"
"41182","1271522","87","2","6813","18671"
"30284","1793325","135","1","1070","1410"
"33799","802710","147","9","19848","3471"
"34161","835775","1","1","18","6"
"34216","824524","2","1","103","39"
"34271","826341","2","1","11","25"
"34281","826755","245","10","2184","5471"
"34028","1797629","3","1","19","12"
"43065","1797864","0","0","0","0"
"35618","1038548","1","1","2","4"
"35775","1037841","1","1","2","4"
"37952","1027409","2","1","11","25"
"35952","895010","2","1","14","3"
"35467","918150","1","1","66","94"
"36319","911182","105","38","101","2070"
"35145","869213","2","1","103","39"
"25776","882007","22","3","911","1051"
"46450","1791383","1","1","176","16"
"37917","1023952","3","3","2683","71"
"34527","842801","17","5","77","218"
"34525","842696","18","1","78","220"
"41350","1279867","2","1","103","39"
"34201","824399","1","1","63","1"
"35243","872362","2","1","103","39"
"34212","824509","2","1","11","25"
"34200","824384","7","7","197","65"
"36016","1797791","97","3","1829","1488"
"36157","903000","2","1","11","25"
